Source:,/home/wbd/work/panels_g4/LED-Display_G4_Hardware_Arena/arena_w_vreg/teensy_arena_12-12/teensy_arena_12-12.kicad_sch,,,,,,
Date:,Thu 08 Feb 2024 12:19:17 PM PST,,,,,,
Tool:,Eeschema 7.0.8-7.0.8~ubuntu22.04.1,,,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,
Component Count:,87,,,,,,
,,,,,,,
Collated Components:,,,,,,,
,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DNP
1,10,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10",0.1uF,Device:C,Capacitor_SMD:C_0603_1608Metric,~,
2,11,"C11, C13, C15, C17,C19,C21, C23, C25, C27, C29, C31, C33",10uF,Device:C_Polarized_Small,Capacitor_SMD:CP_Elec_4x5.4,~,
3,12,"C12, C14, C16, C18, C20, C22, C24, C26, C28, C30, C32, C34",22uF,Device:C_Polarized_Small,Capacitor_SMD:CP_Elec_4x5.4,~,
5,4,"H1, H2, H3, H4",MountingHole_Pad,Mechanical:MountingHole_Pad,MountingHole:MountingHole_4.5mm_Pad,~,
6,1,J1,Barrel_Jack,Connector:Barrel_Jack,arena_custom:DCJACK_2PIN_HIGHCURRENT,~,
7,2,"J2, J3",Conn_01x04,Connector_Generic:Conn_01x04,arena_custom:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,~,
8,12,"P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11, P12",CONN15,arena_custom:CONN15,arena_custom:HEADER_TOP,,
9,1,Q2,MOSFET_NCHAN,arena_custom:MOSFET_NCHAN,Package_TO_SOT_SMD:SOT-23-3,,
10,1,R1,200,Device:R,Resistor_SMD:R_0805_2012Metric,~,
11,1,R2,20k,Device:R,Resistor_SMD:R_0805_2012Metric,~,
12,12,"R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14",300,Device:R,Capacitor_SMD:C_1206_3216Metric,~,
13,1,SW1,SW_SPDT,Switch:SW_SPDT,arena_custom:slide_switch,~,
14,5,"U1, U2, U3, U4, U5",TXB0108PW,TXB0108:TXB0108PW,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,,
15,12,"U6, U7, U8, U9, U10, U11, U12, U13, U14, U15, U16, U17",AZ1084-5.0,Regulator_Linear:AZ1084-5.0,Package_TO_SOT_SMD:TO-252-3_TabPin2,https://www.diodes.com/assets/Datasheets/AZ1084.pdf,
16,1,U18,Teensy4.1,arena_custom:Teensy4.1,teensy:Teensy41,,
