Ref,PosX,PosY,Side,Rot
C1,106.7905,-287.663,top,0
C2,94.2705,-287.633,top,180
C3,129.7634,-287.7112,top,0
C4,117.5134,-287.7312,top,180
C5,235.9022,-287.6804,top,0
C6,223.4022,-287.6904,top,180
C7,259.4102,-287.6804,top,0
C8,246.6355,-287.663,top,180
C9,174.7142,-287.7312,top,0
C10,162.1892,-287.8012,top,180
C11,277.3172,-153.0988,top,90
C12,271.78,-153.1112,top,-90
C13,269.9512,-154.826,top,-90
C14,251.6338,-106.6495,top,120
C15,246.8447,-109.4289,top,-60
C16,246.1183,-111.8283,top,-60
C17,206.1667,-79.265,top,150
C18,203.4089,-84.0665,top,-30
C19,203.9795,-86.5077,top,-30
C20,153.0988,-78.2828,top,180
C21,153.1112,-83.82,top,0
C22,154.826,-85.6488,top,0
C23,106.6495,-103.9662,top,-150
C24,109.4289,-108.7553,top,30
C25,111.8283,-109.4817,top,30
C26,79.265,-149.4333,top,-120
C27,84.0665,-152.1911,top,60
C28,86.5077,-151.6205,top,60
C29,78.2828,-202.5012,top,-90
C30,83.82,-202.4888,top,90
C31,85.6488,-200.774,top,90
C32,103.9662,-248.9505,top,-60
C33,108.7553,-246.1711,top,120
C34,109.4817,-243.7717,top,120
C35,149.4333,-276.335,top,-30
C36,152.1911,-271.5335,top,150
C37,151.6205,-269.0923,top,150
C38,202.5012,-277.3172,top,0
C39,202.4888,-271.78,top,180
C40,200.774,-269.9512,top,180
C41,248.9505,-251.6338,top,30
C42,246.1711,-246.8447,top,-150
C43,243.7717,-246.1183,top,-150
C44,276.335,-206.1667,top,60
C45,271.5335,-203.4089,top,-120
C46,269.0923,-203.9795,top,-120
C47,191.1734,-287.4772,top,180
C48,186.8834,-283.9422,top,-90
J1,292.0238,-92.0242,top,-90
J2,285.75,-228.6,top,90
L1,274.32,-160.02,top,180
L2,252.4988,-114.1421,top,-150
L3,210.6621,-85.3212,top,-120
L4,160.02,-81.28,top,-90
L5,114.1421,-103.1012,top,-60
L6,85.3212,-144.9379,top,-30
L7,81.28,-195.58,top,0
L8,103.1012,-241.4579,top,30
L9,144.9379,-270.2788,top,60
L10,195.58,-274.32,top,90
L11,241.4579,-252.4988,top,120
L12,270.2788,-210.6621,top,150
P1,266.474,-177.8,top,-90
P2,254.594,-133.463,top,-60
P3,222.137,-101.006,top,-30
P4,177.8,-89.126,top,0
P5,133.463,-101.006,top,30
P6,101.006,-133.463,top,60
P7,89.126,-177.8,top,90
P8,101.006,-222.137,top,120
P9,133.463,-254.594,top,150
P10,177.8,-266.474,top,180
P11,222.137,-254.594,top,-150
P12,254.594,-222.137,top,-120
Q2,284.6015,-127.4064,top,180
R1,286.6155,-130.7084,top,0
R2,288.544,-127.4064,top,-90
R3,265.9888,-154.8638,top,90
R4,268.0208,-154.8892,top,-90
R5,242.7056,-113.8423,top,120
R6,244.4781,-112.8483,top,-60
R7,202.0311,-89.9582,top,150
R8,203.0691,-88.2111,top,-30
R9,154.8638,-89.6112,top,180
R10,154.8892,-87.5792,top,0
R11,113.8423,-112.8944,top,-150
R12,112.8483,-111.1219,top,30
R13,89.9582,-153.5689,top,-120
R14,88.2111,-152.5309,top,60
R15,89.6112,-200.7362,top,-90
R16,87.5792,-200.7108,top,90
R17,112.8944,-241.7577,top,-60
R18,111.1219,-242.7517,top,120
R19,153.5689,-265.6418,top,-30
R20,152.5309,-267.3889,top,150
R21,200.7362,-265.9888,top,0
R22,200.7108,-268.0208,top,180
R23,241.7577,-242.7056,top,30
R24,242.7517,-244.4781,top,-150
R25,265.6418,-202.0311,top,60
R26,267.3889,-203.0691,top,-120
SW1,287.02,-112.0902,top,90
U1,100.5155,-285.373,top,180
U2,123.7534,-285.4412,top,180
U3,229.8072,-285.4104,top,180
U4,252.9155,-285.373,top,180
U5,168.5592,-285.5012,top,180
U6,274.5384,-154.2233,top,90
U7,249.7896,-109.0128,top,120
U8,205.7512,-82.2337,top,150
U9,154.2233,-81.0616,top,180
U10,109.0128,-105.8104,top,-150
U11,82.2337,-149.8488,top,-120
U12,81.0616,-201.3767,top,-90
U13,105.8104,-246.5872,top,-60
U14,149.8488,-273.3663,top,-30
U15,201.3767,-274.5384,top,0
U16,246.5872,-249.7896,top,30
U17,273.3663,-205.7512,top,60
U18,189.9034,-284.0847,top,90
