Ref,PosX,PosY,Side,Rot
C1,287.4772,-175.514,top,90
C2,287.528,-188.328,top,-90
C3,286.385,-226.28,top,90
C4,286.385,-238.62,top,-90
C5,220.459,-286.258,top,0
C6,208.124,-286.268,top,180
C7,172.8594,-286.4612,top,0
C8,160.4794,-286.4912,top,180
C9,125.1074,-285.6992,top,0
C10,112.9574,-285.6592,top,180
C11,281.3304,-162.1536,top,0
C12,282.3464,-155.702,top,180
C13,272.7848,-152.3238,top,180
C14,259.6368,-112.4846,top,30
C15,257.2908,-106.3894,top,-150
C16,247.3212,-108.2446,top,-150
C17,216.015,-80.3168,top,60
C18,210.9358,-76.2112,top,-120
C19,203.2294,-82.8026,top,-120
C20,162.1536,-74.2696,top,90
C21,155.702,-73.2536,top,-90
C22,152.3238,-82.8152,top,-90
C23,112.4846,-95.9632,top,120
C24,106.3894,-98.3092,top,-60
C25,108.2446,-108.2788,top,-60
C26,80.3168,-139.585,top,150
C27,76.2112,-144.6642,top,-30
C28,82.8026,-152.3706,top,-30
C29,74.2696,-193.4464,top,180
C30,73.2536,-199.898,top,0
C31,82.8152,-203.2762,top,0
C32,95.9632,-243.1154,top,-150
C33,98.3092,-249.2106,top,30
C34,108.2788,-247.3554,top,30
C35,139.585,-275.2832,top,-120
C36,144.6642,-279.3888,top,60
C37,152.3706,-272.7973,top,60
C38,193.4464,-281.3304,top,-90
C39,199.898,-282.3464,top,90
C40,203.2762,-272.7848,top,90
C41,243.1154,-259.6368,top,-60
C42,249.2106,-257.2908,top,120
C43,247.3554,-247.3211,top,120
C44,275.2832,-216.015,top,-30
C45,279.3888,-210.9358,top,150
C46,272.7974,-203.2294,top,150
J1,292.1,-92.202,top,-90
J2,288.6756,-142.4626,top,90
J3,288.6756,-133.4516,top,90
L1,274.7336,-158.5468,top,180
L2,252.1204,-112.6594,top,-150
L3,209.593,-84.2264,top,-120
L4,158.5468,-80.8664,top,-90
L5,112.6594,-103.4796,top,-60
L6,84.2264,-146.007,top,-30
L7,80.8664,-197.0532,top,0
L8,103.4796,-242.9406,top,30
L9,146.007,-271.3736,top,60
L10,197.0532,-274.7336,top,90
L11,242.9406,-252.1204,top,120
L12,271.3736,-209.593,top,150
P1,266.474,-177.8,top,-90
P2,254.594,-133.463,top,-60
P3,222.137,-101.006,top,-30
P4,177.8,-89.126,top,0
P5,133.463,-101.006,top,30
P6,101.006,-133.463,top,60
P7,89.126,-177.8,top,90
P8,101.006,-222.137,top,120
P9,133.463,-254.594,top,150
P10,177.8,-266.474,top,180
P11,222.137,-254.594,top,-150
P12,254.594,-222.137,top,-120
Q2,272.1009,-112.8014,top,180
R1,274.1149,-116.1034,top,0
R2,276.0434,-112.8014,top,-90
R3,272.7972,-154.0764,top,0
R4,275.4642,-153.2768,top,90
R5,248.2082,-109.7562,top,30
R6,250.1181,-107.7302,top,120
R7,204.7534,-83.6682,top,60
R8,205.3944,-80.9587,top,150
R9,154.0764,-82.8028,top,90
R10,153.2768,-80.1358,top,180
R11,109.7562,-107.3918,top,120
R12,107.7302,-105.4819,top,-150
R13,83.6682,-150.8466,top,150
R14,80.9587,-150.2056,top,-120
R15,82.8028,-201.5236,top,180
R16,80.1358,-202.3232,top,-90
R17,107.3918,-245.8438,top,-150
R18,105.4819,-247.8698,top,-60
R19,150.8466,-271.9318,top,-120
R20,150.2056,-274.6413,top,-30
R21,201.5236,-272.7972,top,-90
R22,202.3232,-275.4642,top,0
R23,245.8438,-248.2082,top,-60
R24,247.8698,-250.1181,top,30
R25,271.9318,-204.7534,top,-30
R26,274.6413,-205.3944,top,60
SW1,287.02,-113.0027,top,90
U1,285.201,-181.9095,top,-90
U2,284.1252,-232.4759,top,-90
U3,214.3086,-284.0016,top,180
U4,166.55,-284.204,top,180
U5,119.1051,-283.391,top,180
U6,281.6494,-158.5468,top,0
U7,258.1096,-109.2015,top,30
U8,213.0509,-78.2372,top,60
U9,158.5468,-73.9506,top,90
U10,109.2015,-97.4904,top,120
U11,78.2372,-142.5491,top,150
U12,73.9506,-197.0532,top,180
U13,97.4904,-246.3985,top,-150
U14,142.5491,-277.3628,top,-120
U15,197.0532,-281.6494,top,-90
U16,246.3985,-258.1096,top,-60
U17,277.3628,-213.0509,top,-30
U18,260.3104,-270.5454,top,-160
